Freq(Hz), Fundamental (dB), THD (%)
4063.747, 50.823, 0.0425
4182.824, 50.621, 0.0435
4305.390, 50.416, 0.0420
4431.547, 50.210, 0.0417
4561.401, 50.001, 0.0444
4695.061, 49.791, 0.0463
4832.637, 49.579, 0.0471
4974.244, 49.366, 0.0467
5120.000, 49.150, 0.0467
5270.027, 48.933, 0.0463
5424.451, 48.713, 0.0470
5583.399, 48.492, 0.0485
5747.006, 48.269, 0.0476
5915.406, 48.044, 0.0499
6088.740, 47.818, 0.0535
6267.154, 47.591, 0.0534
6450.796, 47.362, 0.0526
6639.818, 47.132, 0.0535
6834.380, 46.900, 0.0564
7034.643, 46.668, 0.0563
7240.773, 46.434, 0.0564
7452.944, 46.198, 0.0541
7671.332, 45.960, 0.0541
7896.120, 45.721, 0.0581
8127.493, 45.481, 0.0605
8365.647, 45.241, 0.0617
8610.779, 45.002, 0.0647
8863.095, 44.763, 0.0658
9122.803, 44.525, 0.0649
9390.121, 44.287, 0.0664
9665.273, 44.048, 0.0654
9948.487, 43.805, 0.0641
10240.000, 43.559, 0.0582
10540.055, 43.309, 0.0504
10848.902, 43.058, 0.0416
