Freq(Hz), Fundamental (dB), THD (%)
4063.747, 50.902, 0.0407
4182.824, 50.700, 0.0420
4305.390, 50.496, 0.0436
4431.547, 50.289, 0.0444
4561.401, 50.082, 0.0453
4695.061, 49.873, 0.0444
4832.637, 49.661, 0.0444
4974.244, 49.448, 0.0460
5120.000, 49.233, 0.0462
5270.027, 49.015, 0.0468
5424.451, 48.796, 0.0477
5583.399, 48.575, 0.0487
5747.006, 48.353, 0.0505
5915.406, 48.129, 0.0517
6088.740, 47.902, 0.0531
6267.154, 47.676, 0.0518
6450.796, 47.447, 0.0529
6639.818, 47.218, 0.0556
6834.380, 46.987, 0.0554
7034.643, 46.754, 0.0554
7240.773, 46.521, 0.0554
7452.944, 46.284, 0.0519
7671.332, 46.048, 0.0525
7896.120, 45.808, 0.0562
8127.493, 45.569, 0.0589
8365.647, 45.329, 0.0605
8610.779, 45.090, 0.0616
8863.095, 44.851, 0.0646
9122.803, 44.613, 0.0633
9390.121, 44.376, 0.0613
9665.273, 44.136, 0.0637
9948.487, 43.894, 0.0629
10240.000, 43.647, 0.0570
10540.055, 43.398, 0.0500
10848.902, 43.147, 0.0405
