Freq(Hz), Fundamental (dB), THD (%)
4063.747, 50.901, 0.0412
4182.824, 50.699, 0.0424
4305.390, 50.495, 0.0428
4431.547, 50.289, 0.0414
4561.401, 50.081, 0.0425
4695.061, 49.872, 0.0446
4832.637, 49.660, 0.0468
4974.244, 49.447, 0.0457
5120.000, 49.232, 0.0448
5270.027, 49.015, 0.0471
5424.451, 48.796, 0.0480
5583.399, 48.575, 0.0485
5747.006, 48.352, 0.0469
5915.406, 48.127, 0.0506
6088.740, 47.901, 0.0525
6267.154, 47.675, 0.0545
6450.796, 47.446, 0.0550
6639.818, 47.217, 0.0556
6834.380, 46.986, 0.0564
7034.643, 46.753, 0.0555
7240.773, 46.520, 0.0541
7452.944, 46.284, 0.0506
7671.332, 46.047, 0.0516
7896.120, 45.808, 0.0540
8127.493, 45.568, 0.0594
8365.647, 45.328, 0.0610
8610.779, 45.089, 0.0625
8863.095, 44.851, 0.0655
9122.803, 44.613, 0.0675
9390.121, 44.375, 0.0669
9665.273, 44.135, 0.0673
9948.487, 43.892, 0.0637
10240.000, 43.646, 0.0554
10540.055, 43.397, 0.0485
10848.902, 43.146, 0.0409
