Freq(Hz), SPL(dB), Phase(degrees)
92.651, 70.838, -31.160
93.018, 70.814, -31.306
93.384, 70.790, -31.450
93.750, 70.765, -31.595
94.116, 70.741, -31.738
94.482, 70.717, -31.880
94.849, 70.693, -32.022
95.215, 70.669, -32.161
95.581, 70.645, -32.300
95.947, 70.621, -32.437
96.313, 70.597, -32.573
96.680, 70.573, -32.709
97.046, 70.549, -32.843
97.412, 70.526, -32.976
97.778, 70.502, -33.108
98.145, 70.478, -33.239
98.511, 70.455, -33.369
98.877, 70.431, -33.498
99.243, 70.408, -33.626
99.609, 70.384, -33.753
99.976, 70.361, -33.878
100.342, 70.337, -34.003
100.708, 70.314, -34.126
101.074, 70.291, -34.248
101.440, 70.268, -34.370
101.807, 70.245, -34.491
102.173, 70.222, -34.612
102.539, 70.199, -34.731
102.905, 70.176, -34.849
103.271, 70.153, -34.966
103.638, 70.130, -35.083
104.004, 70.108, -35.198
104.370, 70.085, -35.312
104.736, 70.062, -35.426
105.103, 70.040, -35.539
105.469, 70.017, -35.651
105.835, 69.995, -35.762
106.201, 69.972, -35.872
106.567, 69.950, -35.981
106.934, 69.927, -36.090
107.300, 69.905, -36.197
107.666, 69.883, -36.304
108.032, 69.861, -36.410
108.398, 69.839, -36.516
108.765, 69.817, -36.621
109.131, 69.794, -36.725
109.497, 69.772, -36.828
109.863, 69.750, -36.929
110.229, 69.729, -37.030
110.596, 69.707, -37.131
110.962, 69.685, -37.231
111.328, 69.663, -37.330
111.694, 69.642, -37.429
112.061, 69.620, -37.526
112.427, 69.598, -37.623
112.793, 69.577, -37.719
113.159, 69.555, -37.814
113.525, 69.534, -37.909
113.892, 69.513, -38.003
114.258, 69.491, -38.096
114.624, 69.470, -38.188
114.990, 69.449, -38.280
115.356, 69.428, -38.371
115.723, 69.407, -38.462
116.089, 69.386, -38.552
116.455, 69.365, -38.641
116.821, 69.344, -38.730
117.188, 69.323, -38.818
117.554, 69.302, -38.905
117.920, 69.281, -38.992
118.286, 69.260, -39.079
118.652, 69.239, -39.164
119.019, 69.219, -39.249
119.385, 69.198, -39.332
119.751, 69.177, -39.415
120.117, 69.157, -39.498
120.483, 69.137, -39.580
120.850, 69.116, -39.662
121.216, 69.096, -39.743
121.582, 69.075, -39.824
121.948, 69.055, -39.904
122.314, 69.035, -39.983
122.681, 69.015, -40.062
123.047, 68.994, -40.140
123.413, 68.974, -40.217
123.779, 68.954, -40.294
